event,parameter,model_a,model_b,corrected_S90
GW241109_033317,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.05017035708812184
GW241109_033317,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.0609140500737485
GW241109_033317,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.058092179608882306
GW241109_033317,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.09980130482743022
GW241109_033317,final_spin,IMRPhenomXPNR,NRSur7dq4,0.042054773081972495
GW241125_010116,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.07602123033067018
GW241125_010116,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.01874373790277423
GW241125_010116,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.09650713236457334
GW241125_010116,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.1080513554243225
GW241125_010116,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.11579403152645874
GW241125_010116,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.008544369575649115
GW241125_010116,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.04469284690575087
GW241125_010116,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.07176266311027737
GW241125_010116,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.11869005385404428
GW241125_010116,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.07756095042457219
GW241125_010116,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.03075518980931603
GW241125_010116,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.10933550300160899
GW241125_010116,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.09527515835508227
GW241125_010116,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.20213987192756008
GW241125_010116,final_spin,IMRPhenomXPNR,NRSur7dq4,0.10956011688800187
GW241210_120900,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.013540195044655342
GW241210_120900,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.047404490081676826
GW241210_120900,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.0340245339667637
GW241210_120900,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.057534206799207385
GW241210_120900,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0030577319203043884
GW241210_120900,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.059598219515624475
GW241210_120900,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.01938922493824996
GW241210_120900,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06145985595558222
GW241210_120900,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.04219837246876188
GW241210_120900,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.015483645714220246
GW241210_120900,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.06281101451582086
GW241210_120900,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.04734542105742319
GW241210_120900,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.03998657361469666
GW241210_120900,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.042132790095259276
GW241210_120900,final_spin,IMRPhenomXPNR,NRSur7dq4,0.0015600301369621055
GW241229_155844,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.005078084428088696
GW241229_155844,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.005421023476268862
GW241229_155844,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.0004111165030612596
GW241229_155844,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.028127764961844774
GW241229_155844,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.020122030821592217
GW241229_155844,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.008146198999294151
GW241229_155844,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.01924964284560369
GW241229_155844,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.0379462881547279
GW241229_155844,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.01859453474553418
GW241229_155844,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.007580081595226919
GW241229_155844,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.01907551916873605
GW241229_155844,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.02682933437175313
GW241229_155844,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.028730666456165444
GW241229_155844,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.023488599564133614
GW241229_155844,final_spin,IMRPhenomXPNR,NRSur7dq4,0.006079980058448715
GW241230_084504,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.03860084117299172
GW241230_084504,chirp_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.013237463326341507
GW241230_084504,chirp_mass_source,IMRPhenomXPNR,NRSur7dq4,0.02567303136779862
GW241230_084504,chi_eff,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.20771822267308976
GW241230_084504,chi_eff,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.04029300897575871
GW241230_084504,chi_eff,IMRPhenomXPNR,NRSur7dq4,0.16677314274292782
GW241230_084504,luminosity_distance,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.10238257464254058
GW241230_084504,luminosity_distance,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.035484863390558355
GW241230_084504,luminosity_distance,IMRPhenomXPNR,NRSur7dq4,0.06598833198704131
GW241230_084504,final_mass_source,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.045837985397591735
GW241230_084504,final_mass_source,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.005975097182190741
GW241230_084504,final_mass_source,IMRPhenomXPNR,NRSur7dq4,0.051968991724174754
GW241230_084504,final_spin,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,0.15770665883677776
GW241230_084504,final_spin,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,0.08785180102966163
GW241230_084504,final_spin,IMRPhenomXPNR,NRSur7dq4,0.07508637165564422
