event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW240716_034900,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,19085,20091,133.21814154639023,980.9866380263379,0.13580015912797125,0.0,709025589,4000,0.1114911290808916,0.1325684464125042,0.16176351367080555
GW240716_034900,IMRPhenomXPNR,NRSur7dq4,final_mass_source,19085,20091,1.0106820821387392,6.8821356495506265,0.14685587927996338,0.0,263454172,4000,0.12253011973842974,0.14679103431318685,0.16854564325716825
GW240716_034900,IMRPhenomXPNR,NRSur7dq4,final_spin,19085,20091,0.011359952382716143,0.07617424650981186,0.149131142127581,0.0,808403292,4000,0.12115568230400572,0.14576233989856918,0.1664094506076254
GW240924_000316,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,18026,17281,0.5286254392198836,6.447344643940816,0.08199118682397151,0.0,703086493,4000,0.05935374021234881,0.08102993104744455,0.10124559555575445
GW240924_000316,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,18026,17281,0.05069088850477692,0.18960663665701732,0.26734764878759243,0.0,149644276,4000,0.24335116170147142,0.2630397387948262,0.29047207801179925
GW240924_000316,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,18026,17281,27.0756616109662,1966.2701874998327,0.01377006160348373,3.552713678800501e-15,921585425,4000,0.010612125755637034,0.01979315809903983,0.03350237346949117
GW240924_000316,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,18026,17281,1.3132774413257122,13.513320397472441,0.09718391947336276,2.220446049250313e-16,130011536,4000,0.07810390702086628,0.09883626953294798,0.11506404255003809
GW240924_000316,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,18026,17281,0.020756859491084842,0.07887804380686586,0.2631512964736846,3.469446951953614e-18,121383930,4000,0.240596557653498,0.2625272267254489,0.28484559266697973
GW240924_000316,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,18026,13350,1.0466206884969649,6.313144670661053,0.1657843662859341,2.220446049250313e-16,1005655326,4000,0.14793081481093195,0.1649863931949479,0.1929880694021814
GW240924_000316,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,18026,13350,0.038670282953087595,0.18885060615272473,0.20476652810854462,0.0,463724206,4000,0.18702333052240463,0.20486508623703292,0.2267848819871012
GW240924_000316,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,18026,13350,159.2882216709834,2003.2573386927522,0.07951460783112803,2.842170943040401e-14,738374014,4000,0.05809777835864704,0.07797666674584917,0.09975223916601156
GW240924_000316,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,18026,13350,2.507846345186251,13.257614762371531,0.18916271064868728,0.0,722913770,4000,0.1644059314574068,0.18850151899081752,0.2076286803169956
GW240924_000316,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,18026,13350,0.026254446586477784,0.07640968265054787,0.34360104211595666,3.469446951953614e-18,427121575,4000,0.3236259459477428,0.34153100703284534,0.3703750306772225
GW240924_000316,IMRPhenomXPNR,NRSur7dq4,chirp_mass_source,17281,13350,0.5182229458870782,6.12899538265334,0.08455267356764286,1.1102230246251565e-16,508979880,4000,0.06651077588912807,0.08593989802357438,0.11214305809329597
GW240924_000316,IMRPhenomXPNR,NRSur7dq4,chi_eff,17281,13350,0.012073620069544764,0.18095413266514487,0.06672199132299987,1.734723475976807e-18,116233844,4000,0.04692804794010241,0.06854391271885288,0.08601312900918105
GW240924_000316,IMRPhenomXPNR,NRSur7dq4,luminosity_distance,17281,13350,183.69867945059488,2000.388489483827,0.09183150193890378,2.842170943040401e-14,633574371,4000,0.07125444699829234,0.09264738645957302,0.11589870058606966
GW240924_000316,IMRPhenomXPNR,NRSur7dq4,final_mass_source,17281,13350,1.1948707802168497,12.632991248666656,0.09458336166764636,2.220446049250313e-16,302113398,4000,0.07022293929245614,0.09823627415604672,0.11986823892933172
GW240924_000316,IMRPhenomXPNR,NRSur7dq4,final_spin,17281,13350,0.005669803933926588,0.07020490621943354,0.0807607935007414,0.0,996676558,4000,0.06583107283255603,0.08383917294091134,0.10509336986616508
GW241002_030559,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chirp_mass_source,14435,12554,0.3074993143919542,2.9747109579752973,0.10337115731111236,5.551115123125783e-17,303183505,4000,0.081640943360058,0.10323161198995953,0.1276664043256716
GW241002_030559,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,chi_eff,14435,12554,0.037767106222796096,0.1842339123601297,0.20499540903724153,0.0,335475325,4000,0.19068316855358128,0.20816937563252405,0.23198166969016262
GW241002_030559,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,luminosity_distance,14435,12554,11.607144582046782,696.2582593036177,0.016670745986777945,1.7763568394002505e-15,346928317,4000,0.012599790854781974,0.022773703760424806,0.03717494498733767
GW241002_030559,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_mass_source,14435,12554,0.48411930027106864,6.298928868846822,0.07685740073449962,0.0,366647717,4000,0.0536154732529363,0.07548948770072868,0.09659813603505674
GW241002_030559,IMRPhenomXPHM-SpinTaylor,IMRPhenomXPNR,final_spin,14435,12554,0.016950528485891344,0.06388843841806935,0.26531449047121,3.469446951953614e-18,969592205,4000,0.2421284546459708,0.26424419693415657,0.2869558150459788
GW241002_030559,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chirp_mass_source,14435,13544,0.05432213876870906,3.034717551169848,0.017900228885475194,0.0,293245986,4000,0.013722537530077942,0.0253488290004968,0.04405842694954381
GW241002_030559,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,chi_eff,14435,13544,0.012049850163943478,0.1753041994573179,0.06873680266214792,1.734723475976807e-18,521725062,4000,0.048183040938535884,0.06803460319779484,0.08832239399305322
GW241002_030559,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,luminosity_distance,14435,13544,26.256604679145358,715.1239097784731,0.036716161101757835,3.552713678800501e-15,968609946,4000,0.023382574866026892,0.04288116162201623,0.05984965741763848
