event,model_a,model_b,parameter,finite_n_a,finite_n_b,raw_W1,scale,full_norm_W1,independent_W1_abs_diff,balanced_seed,balanced_n_each,balanced_q05,balanced_median,balanced_q95
GW230806_204041,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_mass_source,13190,14470,0.3015963247819833,15.060379456595975,0.02002581180980095,5.551115123125783e-17,171869427,4000,0.014975919288942773,0.025727478734708015,0.04451445014753298
GW230806_204041,IMRPhenomXPHM-SpinTaylor,NRSur7dq4,final_spin,13190,14470,0.012512868126242322,0.08913651563227704,0.14037869931850144,0.0,87606208,4000,0.11476074105504533,0.14318702124023852,0.1695597511882039
GW230806_204041,SEOBNRv5PHM,NRSur7dq4,chirp_mass_source,13934,14470,0.27136034701286493,7.193227102239089,0.03772442370523747,0.0,730308114,4000,0.025250164292535415,0.04029525743929392,0.05908675004371971
GW230806_204041,SEOBNRv5PHM,NRSur7dq4,chi_eff,13934,14470,0.0038168965232365784,0.21354435851283715,0.017874021818315218,0.0,56352100,4000,0.015169658099218636,0.024445975191295006,0.03930485242278309
GW230806_204041,SEOBNRv5PHM,NRSur7dq4,luminosity_distance,13934,14470,48.686120240443486,2800.3285797748854,0.01738585985661629,0.0,897035545,4000,0.011417851263101278,0.022444703717339594,0.03595996479071933
GW230806_204041,SEOBNRv5PHM,NRSur7dq4,final_mass_source,13934,14470,0.5454018795975588,15.30452085703039,0.03563665172484111,0.0,453892707,4000,0.018983130734735402,0.037313691387179035,0.06293519604011079
GW230806_204041,SEOBNRv5PHM,NRSur7dq4,final_spin,13934,14470,0.007981605777259492,0.08716060414956583,0.09157354810853786,0.0,430952891,4000,0.07393002671014808,0.09341260080728665,0.11295073823891628
GW230811_032116,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,chirp_mass_source,16501,16593,0.09505213275113535,2.647973270870102,0.03589618286437688,1.3877787807814457e-17,1013800782,4000,0.0280840429748473,0.03901511430409678,0.0500814759882049
GW230811_032116,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,chi_eff,16501,16593,0.0016739253592460463,0.14253859651273545,0.011743663822987659,2.168404344971009e-19,604837534,4000,0.013273733700858591,0.021016856209508442,0.033706794354298734
GW230811_032116,IMRPhenomXPHM-SpinTaylor,SEOBNRv5PHM,luminosity_distance,16501,16593,30.254283993476502,919.3676624070661,0.03290770953838584,0.0,815761905,4000,0.02335662224432613,0.036435752957456005,0.04916989419472613
