endpoint_id,pair_id,event_id,role,target_id,key_exact,key_canonical,line_number,section,declaration_scope,inherited_into_sections,inherited_reference_count,value_text,value_text_truncated,value_sha256
PAIR00621:VARIANT,PAIR00621,GW231028_153006,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00621:VARIANT,PAIR00621,GW231028_153006,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,0,0)]",false,0d595cf40cf2425dc35d46e50a22b46261bb94fc6f61b36520f527c1cd03168f
PAIR00666:BASE,PAIR00666,GW231102_071736,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00666:BASE,PAIR00666,GW231102_071736,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00666:VARIANT,PAIR00666,GW231102_071736,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00666:VARIANT,PAIR00666,GW231102_071736,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,3,2,0)]",false,8075378dd5a2edf48eebd53e80d9db914f017e62321215bc792b03c8bc4b9705
PAIR00711:BASE,PAIR00711,GW231108_125142,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00711:BASE,PAIR00711,GW231108_125142,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00711:VARIANT,PAIR00711,GW231108_125142,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00711:VARIANT,PAIR00711,GW231108_125142,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00754:BASE,PAIR00754,GW231206_233134,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00754:BASE,PAIR00754,GW231206_233134,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00754:VARIANT,PAIR00754,GW231206_233134,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00754:VARIANT,PAIR00754,GW231206_233134,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,3,2,0)]",false,8075378dd5a2edf48eebd53e80d9db914f017e62321215bc792b03c8bc4b9705
PAIR00792:BASE,PAIR00792,GW231206_233901,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00792:BASE,PAIR00792,GW231206_233901,BASE,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0)]",false,918b8617dd99e65be623b6a29009ed5cc07e2badeba955417690d4002c8f430b
PAIR00792:VARIANT,PAIR00792,GW231206_233901,VARIANT,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
PAIR00792:VARIANT,PAIR00792,GW231206_233901,VARIANT,KERR_MODES,kerr-modes,kerrmodes,29,input,SECTION_DIRECT,,0,"[(2,2,2,0), (2,2,2,1)]",false,bc200f256cf28b74cec3f8e364af97fbd24eb4ea100fb87bf554622a407e809f
PAIR00837:BASE,PAIR00837,GW231213_111417,BASE,TARGET_LIKE_CANDIDATE,max-Kerr-amp-ratio,maxkerrampratio,28,input,SECTION_DIRECT,,0,0.0,false,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7
